Values_mod,Item_mod,Item,Attribute,Values,Attribute_mod,Values_mod
spaghetti,pasta,pastas,Type,"Spaghetti, Fettuccine, Ziti, Tortellini, Rotini or Ravioli, Penne, Lasagna, Lasagne",type,spaghetti
fettuccine,pasta,pastas,Type,"Spaghetti, Fettuccine, Ziti, Tortellini, Rotini or Ravioli, Penne, Lasagna, Lasagne",type,fettuccine
ziti,pasta,pastas,Type,"Spaghetti, Fettuccine, Ziti, Tortellini, Rotini or Ravioli, Penne, Lasagna, Lasagne",type,ziti
tortellini,pasta,pastas,Type,"Spaghetti, Fettuccine, Ziti, Tortellini, Rotini or Ravioli, Penne, Lasagna, Lasagne",type,tortellini
rotini,pasta,pastas,Type,"Spaghetti, Fettuccine, Ziti, Tortellini, Rotini or Ravioli, Penne, Lasagna, Lasagne",type,rotini
ravioli,pasta,pastas,Type,"Spaghetti, Fettuccine, Ziti, Tortellini, Rotini or Ravioli, Penne, Lasagna, Lasagne",type,ravioli
penne,pasta,pastas,Type,"Spaghetti, Fettuccine, Ziti, Tortellini, Rotini or Ravioli, Penne, Lasagna, Lasagne",type,penne
lasagna,pasta,pastas,Type,"Spaghetti, Fettuccine, Ziti, Tortellini, Rotini or Ravioli, Penne, Lasagna, Lasagne",type,lasagna
lasagne,pasta,pastas,Type,"Spaghetti, Fettuccine, Ziti, Tortellini, Rotini or Ravioli, Penne, Lasagna, Lasagne",type,lasagne
meat sauce,pasta,pastas,Sauce,"Meat Sauce, Marinara Sauce, Alfredo, Spicy Tomato Pepper Sauce, Creamy Basil",sauce,meat sauce
marinara sauce,pasta,pastas,Sauce,"Meat Sauce, Marinara Sauce, Alfredo, Spicy Tomato Pepper Sauce, Creamy Basil",sauce,marinara sauce
alfredo,pasta,pastas,Sauce,"Meat Sauce, Marinara Sauce, Alfredo, Spicy Tomato Pepper Sauce, Creamy Basil",sauce,alfredo
spicy tomato pepper sauce,pasta,pastas,Sauce,"Meat Sauce, Marinara Sauce, Alfredo, Spicy Tomato Pepper Sauce, Creamy Basil",sauce,spicy tomato pepper sauce
creamy basil,pasta,pastas,Sauce,"Meat Sauce, Marinara Sauce, Alfredo, Spicy Tomato Pepper Sauce, Creamy Basil",sauce,creamy basil
provolone,pasta,pastas,Cheese,"Provolone, Mozzarella, Parmesan, Ricotta, Romano",cheese,provolone
mozzarella,pasta,pastas,Cheese,"Provolone, Mozzarella, Parmesan, Ricotta, Romano",cheese,mozzarella
parmesan,pasta,pastas,Cheese,"Provolone, Mozzarella, Parmesan, Ricotta, Romano",cheese,parmesan
ricotta,pasta,pastas,Cheese,"Provolone, Mozzarella, Parmesan, Ricotta, Romano",cheese,ricotta
romano,pasta,pastas,Cheese,"Provolone, Mozzarella, Parmesan, Ricotta, Romano",cheese,romano
italian meatballs,pasta,pastas,Topping,"Italian Meatballs, Grape Tomatoes, Sausage, Garlic-Roasted Mushrooms, Bacon, peas, black pepper, House-Roasted Chicken, Roasted Chicken, Fresh Spinach, Broccoli, Fire-Roasted Tomatoes, Pepperoni",top,italian meatballs
grape tomatoes,pasta,pastas,Topping,"Italian Meatballs, Grape Tomatoes, Sausage, Garlic-Roasted Mushrooms, Bacon, peas, black pepper, House-Roasted Chicken, Roasted Chicken, Fresh Spinach, Broccoli, Fire-Roasted Tomatoes, Pepperoni",top,grape tomatoes
sausage,pasta,pastas,Topping,"Italian Meatballs, Grape Tomatoes, Sausage, Garlic-Roasted Mushrooms, Bacon, peas, black pepper, House-Roasted Chicken, Roasted Chicken, Fresh Spinach, Broccoli, Fire-Roasted Tomatoes, Pepperoni",top,sausage
