Fazoli's  3134 Dial Dr  Council Bluffs  IA 51501  USA
Timing: 10:30AM - 9:30PM

Name,ID,Category,Description,Price,Calories,Suggested Item
01. Spaghetti with Marinara or Meat Sauce=>Marinara,48608299.0,Fazoli's Fan Favorites,( ,6.79,390/610,2 Breadsticks; 08. Baked Ziti; 07. Baked Lasagna
01. Spaghetti with Marinara or Meat Sauce=>Meat Sauce,48608299.0,Fazoli's Fan Favorites,( ,6.79,390/610,2 Breadsticks; 08. Baked Ziti; 07. Baked Lasagna
02. Spaghetti with Meatballs,48608305.0,Popular Items/Fazoli's Fan Favorites,( ,7.79,740,12 Breadsticks; 2 Breadsticks; 03. Fettuccine Alfredo
03. Fettuccine Alfredo,48608304.0,Popular Items/Fazoli's Fan Favorites,Vegetarian Friendly ( ,6.79,690,07. Baked Lasagna; 12. Baked Chicken Parmigiano; 15. Oven-Baked Classic
04. Chicken Fettuccine Alfredo,48608301.0,Fazoli's Fan Favorites,( ,7.79,810,07. Baked Lasagna; 12. Baked Chicken Parmigiano; 15. Oven-Baked Classic
05. Baked Spaghetti,48608300.0,Popular Items/Fazoli's Fan Favorites,Vegetarian Friendly ( ,7.49,580,6 Breadsticks; 12 Breadsticks; 2 Breadsticks
06. Baked Spaghetti with Meatballs,48608302.0,Fazoli's Fan Favorites,( ,8.49,800,15. Oven-Baked Classic; 05. Baked Spaghetti; 2 Breadsticks
07. Baked Lasagna,48608298.0,Popular Items/Fazoli's Fan Favorites,( ,7.99,630,04. Chicken Fettuccine Alfredo; 12. Baked Chicken Parmigiano; 15. Oven-Baked Classic
08. Baked Ziti,48608303.0,Fazoli's Fan Favorites,(  Served with Meat Sauce,7.49,570,05. Baked Spaghetti; 15. Oven-Baked Classic; 12 Breadsticks
09. Spicy Penne with Chicken or Sausage=>Chicken,48608283.0,Signature Pasta Bakes,"Spicy tomato pepper sauce, chicken or sausage, fresh spinach, seasoned mushrooms.  ( ",7.99,670/740,07. Baked Lasagna; 2 Breadsticks; 15. Oven-Baked Classic
