category,name,description,price,calories
Drinks + Desserts,New York Style Cheesecake,Graham cracker crust filled with rich and creamy New York Style Cheesecake and Strawberry Topping.,$3.29 ,510 Calories
Drinks + Desserts,Triple Chocolate Cheesecake,Rich Dark Chocolate Cheesecake loaded with Chocolate Chips and topped with a layer of Chocolate Ganache. Served with HERSHEY'S® Chocolate Sauce.,$3.29 ,560 Calories
Drinks + Desserts,Brownie,Chewy Chocolate Brownie Made with Ghirardelli Chocolate.,$1.69 ,240 Calories
Drinks + Desserts,Chocolate Chunk Cookie,Soft and Chewy Chocolate Chunk Cookie.,$1.69 ,380 Calories
Drinks + Desserts,Four Chocolate Chunk Cookies,4 Soft and Chewy Chocolate Chunk Cookies.,$5.00 ,380-1520 Calories
Drinks + Desserts,Soft Drinks:Small Beverage,Additional beverage choices vary by location,,0-590 Calories
Drinks + Desserts,Soft Drinks:Medium Beverage,Additional beverage choices vary by location,,0-590 Calories
Drinks + Desserts,Fresh-Brewed Iced Tea:Small Beverage,Enjoy the refreshing taste of fresh-brewed Gold Peak® Iced Tea.,,0-380 Calories
Drinks + Desserts,Bottled Water,,$2.29 ,0 Calories
Drinks + Desserts,Soft Drinks:Large Beverage,Additional beverage choices vary by location,,0-590 Calories
Drinks + Desserts,Fresh-Brewed Iced Tea:Medium Beverage,Enjoy the refreshing taste of fresh-brewed Gold Peak® Iced Tea.,,0-380 Calories
Drinks + Desserts,Italian Lemon Ice:Original Italian Lemon Ice,"Choose from Original Italian Lemon Ice, Strawberry, or Blue Raspberry",,250 Calories
Drinks + Desserts,Fresh-Brewed Iced Tea:Large Beverage,Enjoy the refreshing taste of fresh-brewed Gold Peak® Iced Tea.,,0-380 Calories
Drinks + Desserts,Apple Juice,,$1.49 ,80 Calories
Drinks + Desserts,Italian Lemon Ice:Blue Raspberry Italian Lemon Ice,"Choose from Original Italian Lemon Ice, Strawberry, or Blue Raspberry",,250 Calories
Drinks + Desserts,Chocolate Milk,,$1.49 ,180 Calories
Drinks + Desserts,Italian Lemon Ice:Strawberry Italian  Lemon Ice,"Choose from Original Italian Lemon Ice, Strawberry, or Blue Raspberry",,250 Calories
Drinks + Desserts,Milk,,$1.49 ,110 Calories
Family Meals,Fresh Tossed Duo:Fettuccine Alfredo & Fettuccine Alfredo,Fettuccine Alfredo & Choice of Spaghetti with Meat or Marinara + 8 Breadsticks,$15.00 ,
Family Meals,Fresh Tossed Duo:Fettuccine Alfredo & Spaghetti Meat Sauce,Fettuccine Alfredo & Choice of Spaghetti with Meat or Marinara + 8 Breadsticks,$15.00 ,
Family Meals,Fresh Tossed Duo:Fettuccine Alfredo & Spaghetti Marinara Sauce,Fettuccine Alfredo & Choice of Spaghetti with Meat or Marinara + 8 Breadsticks,$15.00 ,
Family Meals,Family Side of Sauce:Family Side of Alfredo,,$3.00 ,
Family Meals,Fresh Tossed Duo:Spaghetti Meat Sauce & Fettuccine Alfredo,Fettuccine Alfredo & Choice of Spaghetti with Meat or Marinara + 8 Breadsticks,$15.00 ,
Family Meals,Family Side of Sauce:Family Side of Creamy Basil,,$3.00 ,
Family Meals,Family Side of Sauce:Family Side of Meat Sauce,,$3.00 ,
Family Meals,Fresh Tossed Duo:Spaghetti Meat Sauce & Spaghetti Meat Sauce,Fettuccine Alfredo & Choice of Spaghetti with Meat or Marinara + 8 Breadsticks,$15.00 ,
Family Meals,Family Side of Sauce:Family Side of Marinara,,$3.00 ,
Family Meals,Fresh Tossed Duo:Spaghetti Meat Sauce & Spaghetti Marinara Sauce,Fettuccine Alfredo & Choice of Spaghetti with Meat or Marinara + 8 Breadsticks,$15.00 ,
Family Meals,Family Side of Sauce:Family Side of Spicy Tomato Pepper,,$3.00 ,
Family Meals,Fresh Tossed Duo:Spaghetti Marinara Sauce & Fettuccine Alfredo,Fettuccine Alfredo & Choice of Spaghetti with Meat or Marinara + 8 Breadsticks,$15.00 ,
