name,id,category,description,price,calories,url
Add a Meat=>Side of Bacon,16245752,Sides + Extras,Add an extra side of meat,,,https://order.fazolis.com/menu/council-bluffs-ia
Add a Meat=>Side of House Roasted Chicken,16245752,Sides + Extras,Add an extra side of meat,,,https://order.fazolis.com/menu/council-bluffs-ia
Add a Meat=>Side of Italian Sausage,16245752,Sides + Extras,Add an extra side of meat,,,https://order.fazolis.com/menu/council-bluffs-ia
Add a Meat=>Side of Meatballs,16245752,Sides + Extras,Add an extra side of meat,,,https://order.fazolis.com/menu/council-bluffs-ia
Add a Meat=>Side of Spicy Sausage,16245752,Sides + Extras,Add an extra side of meat,,,https://order.fazolis.com/menu/council-bluffs-ia
Add a Veggie=>Side of Garlic Roasted Mushrooms,16245548,Sides + Extras,Add an extra portion of veggies,,,https://order.fazolis.com/menu/council-bluffs-ia
Add a Veggie=>Side of Marinated Tomatoes,16245548,Sides + Extras,Add an extra portion of veggies,,,https://order.fazolis.com/menu/council-bluffs-ia
Add a Veggie=>Side of Parmesan Roasted Broccoli,16245548,Sides + Extras,Add an extra portion of veggies,,,https://order.fazolis.com/menu/council-bluffs-ia
Apple Juice,16248608,Drinks + Desserts,,$1.09,,https://order.fazolis.com/menu/council-bluffs-ia
Baked Lasagna,16235139,Fan Favorites,Lasagna layered with Meat Sauce and Mozzarella and Provolone Cheeses.,$7.99,,https://order.fazolis.com/menu/council-bluffs-ia
Baked Spaghetti,16234731,Fan Favorites/Vegetarian Options,"Spaghetti with Marinara Sauce loaded with Mozzarella Cheese and baked to a golden, bubbly perfection.",$7.49,,https://order.fazolis.com/menu/council-bluffs-ia
Baked Spaghetti with Meatballs,16234935,Fan Favorites,"Spaghetti with Marinara Sauce loaded with Mozzarella Cheese and baked to a golden, bubbly perfection topped with Meatballs.",$8.49,,https://order.fazolis.com/menu/council-bluffs-ia
Baked Ziti,16235343,Fan Favorites,"Penne with Marinara and Meat Sauce topped with Mozzarella and Provolone Cheeses and baked to a golden, bubbly perfection.",$7.49,,https://order.fazolis.com/menu/council-bluffs-ia
Blackened Chicken Caesar Salad,16250220,New Items and Specials,"Romaine lettuce topped with grape tomatoes, chopped bacon, blackened chicken, shaved Parmesan and croutons.",$7.49,,https://order.fazolis.com/menu/council-bluffs-ia
Blackened Shrimp and Chicken Bake,16249840,New Items and Specials,"Shrimp simmered in a smoky gouda cheese sauce with blackened chicken, fire-roasted red peppers on top of orecchiette pasta and baked with mozzarella and gouda cheese.",$8.49,,https://order.fazolis.com/menu/council-bluffs-ia
Bottled Water,16248200,Drinks + Desserts,,$2.19,,https://order.fazolis.com/menu/council-bluffs-ia
Brownie,16252798,Drinks + Desserts,Chewy Chocolate Brownie Made with Ghirardelli Chocolate.,$1.49,,https://order.fazolis.com/menu/council-bluffs-ia
Caesar Side Salad,16242279,Subs + Salads/Sides + Extras,Romaine topped with shaved Parmesan and crunchy Focaccia croutons. Served with our Signature Caesar dressing.,$2.49,,https://order.fazolis.com/menu/council-bluffs-ia
"Cheese Pizza, Double Slice",16240443,Pizzas/Vegetarian Options,2 Slices of Pizza Topped with Fazoli's Pizza Sauce and a blend of Mozzarella and Provolone Cheeses.,$4.99,,https://order.fazolis.com/menu/council-bluffs-ia
Chicken Bacon Caesar,16241871,Subs + Salads,"Romaine topped with Oven-Roasted chicken, Bacon, Vine-Ripened Grape Tomatoes, and Shaved Parmesan in our Signature Caesar dressing.",$7.49,,https://order.fazolis.com/menu/council-bluffs-ia
Chicken Broccoli Penne,16238811,Signature Bakes,"Chicken, Broccoli, Roasted Grape Tomatoes, Alfredo Sauce, Mozzarella, Provolone and Parmesan Cheeses.",$8.49,,https://order.fazolis.com/menu/council-bluffs-ia
Chicken Carbonara,16239831,Specialty Pastas,"Spaghetti topped with creamy Alfredo sauce with hand-chopped bacon, roasted chicken, Parmesan-roasted broccoli, and peas.  Topped with freshly ground black pepper and Parmesan cheese.",$7.99,,https://order.fazolis.com/menu/council-bluffs-ia
Chicken Fettuccine Alfredo,16236567,Fan Favorites,,$7.79,,https://order.fazolis.com/menu/council-bluffs-ia
Chicken Parmigiano,16239423,Signature Bakes,"Spaghetti covered in Marinara Sauce with Crispy Chicken Breast covered with Alfredo Sauce, Mozzarella and Provolone Cheeses and baked.",$8.49,,https://order.fazolis.com/menu/council-bluffs-ia
Chocolate Chunk Cookie,16247588,Drinks + Desserts,Soft and Chewy Chocolate Chunk Cookie.,$1.49,,https://order.fazolis.com/menu/council-bluffs-ia
Chocolate Milk,16248812,Drinks + Desserts,,$1.09,,https://order.fazolis.com/menu/council-bluffs-ia
Classic Sampler,16237995,Pasta Samplers,"Fettuccine Alfredo, Lasagna with Meat Sauce and Spaghetti and Meatball.",$7.79,,https://order.fazolis.com/menu/council-bluffs-ia
Family Side of Sauce=>Family Side of Alfredo,16234323,Family Meals/Sides + Extras,,$3.00,,https://order.fazolis.com/menu/council-bluffs-ia
Family Side of Sauce=>Family Side of Creamy Basil,16234323,Family Meals/Sides + Extras,,$3.00,,https://order.fazolis.com/menu/council-bluffs-ia
Family Side of Sauce=>Family Side of Garlic Butter,16234323,Family Meals/Sides + Extras,,$3.00,,https://order.fazolis.com/menu/council-bluffs-ia
Family Side of Sauce=>Family Side of Marinara,16234323,Family Meals/Sides + Extras,,$3.00,,https://order.fazolis.com/menu/council-bluffs-ia
Family Side of Sauce=>Family Side of Meat Sauce,16234323,Family Meals/Sides + Extras,,$3.00,,https://order.fazolis.com/menu/council-bluffs-ia
Family Side of Sauce=>Family Side of Spicy Tomato Pepper,16234323,Family Meals/Sides + Extras,,$3.00,,https://order.fazolis.com/menu/council-bluffs-ia
Fettuccine,16236975,Fan Favorites,Fettuccine + Sauce,,,https://order.fazolis.com/menu/council-bluffs-ia
Fettuccine with Alfredo,16236159,Fan Favorites/Vegetarian Options,,$6.79,,https://order.fazolis.com/menu/council-bluffs-ia
Four Chocolate Chunk Cookies,16247384,Drinks + Desserts,4 Soft and Chewy Chocolate Chunk Cookies.,$5.00,,https://order.fazolis.com/menu/council-bluffs-ia
Fresh Tossed & Oven Baked Duo,16234119,Family Meals,"Choice of one Fresh-Tossed Pasta (Spaghetti with meat or marinara, Fettuccine Alfredo) & one Oven-Baked Pasta (Baked Spaghetti, Baked Ziti, Baked Lasagna, Chicken Parmigiano)",$20.00,,https://order.fazolis.com/menu/council-bluffs-ia
Fresh Tossed Duo,16233915,Family Meals,Fettuccine Alfredo & Choice of Spaghetti with Meat or Marinara + 8 Breadsticks,$15.00,,https://order.fazolis.com/menu/council-bluffs-ia
Fresh-Brewed Iced Tea,16247996,Drinks + Desserts,Enjoy the refreshing taste of fresh-brewed Gold Peak® Iced Tea.,,,https://order.fazolis.com/menu/council-bluffs-ia
House Side Salad,16242075,Subs + Salads/Vegetarian Options/Sides + Extras,"Romaine lettuce blend topped with Grape Tomatoes, Shredded Mozzarella and Cheddar, Red Cabbage, Shredded Carrots, served with your choice of dressing.",$2.49,,https://order.fazolis.com/menu/council-bluffs-ia
Italian Lemon Ice,16248404,Drinks + Desserts,"Choose from Original Italian Lemon Ice, Strawberry, or Blue Raspberry",,,https://order.fazolis.com/menu/council-bluffs-ia
Kids Cheese Pizza Slice,16244936,Kids Meals,Slice of Cheese Pizza and drink.,$4.29,,https://order.fazolis.com/menu/council-bluffs-ia
Kids Fettuccine,16243709,Kids Meals,Kids Fettuccine with choice of sauce and drink.,,,https://order.fazolis.com/menu/council-bluffs-ia
Kids Penne,16244120,Kids Meals,Kids Penne with choice of sauce and drink.,,,https://order.fazolis.com/menu/council-bluffs-ia
Kids Pepperoni Pizza Slice,16245140,Kids Meals,Slice of Pepperoni Pizza and drink.,$4.29,,https://order.fazolis.com/menu/council-bluffs-ia
Kids Ravioli,16244324,Kids Meals,Kids Ravioli with choice of sauce and drink.,,,https://order.fazolis.com/menu/council-bluffs-ia
Kids Spaghetti,16243913,Kids Meals,Kids Spaghetti with choice of sauce and drink.,,,https://order.fazolis.com/menu/council-bluffs-ia
Kids Tortellini,16244528,Kids Meals,Kids Tortellini with choice of sauce and drink.,,,https://order.fazolis.com/menu/council-bluffs-ia
Kids Whole Grain Rotini,16244732,Kids Meals,Kids Whole Grain Rotini with choice of sauce and drink.,,,https://order.fazolis.com/menu/council-bluffs-ia
Make it a Meal,16245344,Sides + Extras,Add a Small Drink & Pizza Slice or House/Caesar Side Salad to Any Entree.,$3.29,,https://order.fazolis.com/menu/council-bluffs-ia
