address,city,state,postal,url
1310 Third Avenue,Huntington,West Virginia,25701,https://order.fazolis.com/menu/3rd-Avenue-WV
5120 U.S. 60 East,Huntington,West Virginia,25705,https://order.fazolis.com/menu/Barboursville-WV
238 W. Alexander Street,Plant City,Florida,33563,https://order.fazolis.com/menu/Plant-City-FL
1204 Greenbrier Parkway,Chesapeake,Virginia,23320,https://order.fazolis.com/menu/Greenbrier-VA
4224 West Empire Place,Sioux Falls,South Dakota,57106,https://order.fazolis.com/menu/Sioux-Falls-SD
139 Columbiana Drive,Columbia,South Carolina,29212,https://order.fazolis.com/menu/Harbison-SC
7621 Two-Notch Road,Columbia,South Carolina,29223,https://order.fazolis.com/menu/Two-Notch-Road-SC
13600 N. Pennsylvania Ave.,Oklahoma City,Oklahoma,73120,https://order.fazolis.com/menu/Penn-Avenue-OK
501 South Morgan Road,Oklahoma City,Oklahoma,73128,https://order.fazolis.com/menu/Oklahoma-City-OK-TA
105 N Arney Road,Woodburn,Oregon,97071,https://order.fazolis.com/menu/Woodburn-OR
538 N. McPherson Church Rd,Fayetteville,North Carolina,28303,https://order.fazolis.com/menu/Fayetteville-NC
6378 Crane Drive,Whitestown,Indiana,46075,https://order.fazolis.com/menu/Zionsville-IN
2322 N. 6th Street,Vincennes,Indiana,47591,https://order.fazolis.com/menu/Vincennes-IN
6821 NW Expressway,Oklahoma City,Oklahoma,73132,https://order.fazolis.com/menu/Oklahoma-City-OK
2809 Calumet Ave.,Valparaiso,Indiana,46383,https://order.fazolis.com/menu/Valparaiso-IN
2940 S. Third Street,Terre Haute,Indiana,47802,https://order.fazolis.com/menu/TerreHaute-IN
52770 State Route 933,South Bend,Indiana,46637,https://order.fazolis.com/menu/SouthBend-IN
2554 East State Road 44,Shelbyville,Indiana,46176,https://order.fazolis.com/menu/Shelbyville-IN
10833 West Greenfield Avenue,West Allis,Wisconsin,53214,https://order.fazolis.com/menu/West-Allis-WI
4900 Broadway,Quincy,Illinois,62305,https://order.fazolis.com/menu/Quincy-IL
215 Greenbriar Road,Normal,Illinois,61761,https://order.fazolis.com/menu/Normal-IL
4209 Broadway St.,Mount Vernon,Illinois,62864,https://order.fazolis.com/menu/Mt-Vernon-IL
721 41st Avenue Drive,Moline,Illinois,61265,https://order.fazolis.com/menu/Moline-IL
1135 Carbon Street,Marion,Illinois,62959,https://order.fazolis.com/menu/Marion-IL
5811 N. Illinois Street,Fairview Heights,Illinois,62208,https://order.fazolis.com/menu/Fairview-Hts-IL
6663 Edwardsville Crossing Drive,Edwardsville,Illinois,62025,https://order.fazolis.com/menu/Edwardsville-IL
789 Business Park Dr.,Prattville,Alabama,36066,https://order.fazolis.com/menu/Prattville-AL
1631 W US Highway 50,Pueblo,Colorado,81008,https://order.fazolis.com/menu/Pueblo-CO
5201 W. Waco Drive,Waco,Texas,76710,https://order.fazolis.com/menu/Waco-Drive-TX
919 S. 6th Street,Waco,Texas,76706,https://order.fazolis.com/menu/Baylor-TX
7205 South Broadway,Tyler,Texas,75703,
927 Highway 80,San Marcos,Texas,78666,https://order.fazolis.com/menu/San-Marcos-TX
6170 Interstate 10 East,San Antonio,Texas,78219,https://order.fazolis.com/menu/San-Antonio-TX-TA
1943 West Interstate 2,Pharr,Texas,78577,https://order.fazolis.com/menu/Pharr-TX
4241 John Ben Shepperd Pkwy,Odessa,Texas,79762,https://order.fazolis.com/menu/Odessa-TX
4505 West Loop 250 North,Midland,Texas,79707,https://order.fazolis.com/menu/Midland-TX
1969 N. Jackson Street,Tullahoma,Tennessee,37388,https://order.fazolis.com/menu/Tullahoma-TN
450 Enon Springs Rd,Smyrna,Tennessee,37167,https://order.fazolis.com/menu/Smyrna-TN
10 Harding Mall Drive,Nashville,Tennessee,37211,https://order.fazolis.com/menu/Nashville-TN
835 Old Fort Parkway,Murfreesboro,Tennessee,37129,https://order.fazolis.com/menu/Murfreesboro-TN
