Category,Sub Category,Name,Description,Nutritional value,Allergens
Breakfast,Hardee’s® Made from Scratch Biscuits™,"Sausage, Egg & Cheese Biscuit ","A folded egg, sausage patty and American cheese  on a freshly-baked Made from Scratch Biscuit™.","{'Serving Size': '186g', 'Calories': '610', 'Calories from Fat': '380', 'Fat': '42g', 'Saturated Fat': '18g', 'Trans Fat': '0g', 'Cholesterol': '200mg', 'Sodium': '1380mg', 'Carbohydrates': '38g', 'Dietary Fiber': '2g', 'Sugars': '3g', 'Protein': '20g'}","Egg, Milk, Soy, Wheat"
Breakfast,Burritos and more,Ham Grilled Cheese Breakfast Sandwich ,"The Grilled Cheese Breakfast Sandwich loaded with American and Swiss Cheese, Folded Egg, and Ham.","{'Serving Size': '202g', 'Calories': '500', 'Calories from Fat': '230', 'Fat': '26g', 'Saturated Fat': '10g', 'Trans Fat': '0.5g', 'Cholesterol': '210mg', 'Sodium': '1610mg', 'Carbohydrates': '43g', 'Dietary Fiber': '2g', 'Sugars': '4g', 'Protein': '34g'}","Egg, Milk, Soy, Wheat"
Breakfast,Burritos and more,Loaded Breakfast Burrito,"Scrambled Eggs, Sausage, Ham, Bacon Bits, Hash Rounds®,Shredded Cheese, and Fresh Salsa Wrapped in a Warm Flour Tortilla.","{'Serving Size': '301g', 'Calories': '760', 'Calories from Fat': '430', 'Fat': '48g', 'Saturated Fat': '16g', 'Trans Fat': '0g', 'Cholesterol': '370mg', 'Sodium': '1330mg', 'Carbohydrates': '46g', 'Dietary Fiber': '3g', 'Sugars': '2g', 'Protein': '33g'}","Egg, Milk, Soy, Wheat"
Breakfast,Hardee’s® Made from Scratch Biscuits™,Made From Scratch Biscuit™,"Freshly-baked daily, Made from Scratch Biscuit™.","{'Serving Size': '86g', 'Calories': '290', 'Calories from Fat': '120', 'Fat': '13g', 'Saturated Fat': '7g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '730mg', 'Carbohydrates': '37g', 'Dietary Fiber': '2g', 'Sugars': '2g', 'Protein': '6g'}","Milk, Soy, Wheat"
Breakfast,Burritos and more,Big Country® Breakfast Burrito,"Warm sausage gravy, smothered over scrambled eggs, sausage, ham, bacon bits, Hash Rounds®, and shredded cheese, all wrapped in a warm flour tortilla.","{'Serving Size': '259g', 'Calories': '660', 'Calories from Fat': '360', 'Fat': '40g', 'Saturated Fat': '12g', 'Trans Fat': '0g', 'Cholesterol': '345mg', 'Sodium': '1140mg', 'Carbohydrates': '45g', 'Dietary Fiber': '2g', 'Sugars': '1g', 'Protein': '26g'}","Egg, Milk, Soy, Wheat"
Breakfast,Hardee’s® Made from Scratch Biscuits™,Monster Biscuit®,"It starts with bacon, then a sausage patty, two folded eggs and Swiss and American cheese all piled high on a freshly-baked Made from Scratch Biscuit™.","{'Serving Size': '258g', 'Calories': '820', 'Calories from Fat': '530', 'Fat': '59g', 'Saturated Fat': '24g', 'Trans Fat': '0.5g', 'Cholesterol': '385mg', 'Sodium': '1930mg', 'Carbohydrates': '39g', 'Dietary Fiber': '2g', 'Sugars': '4g', 'Protein': '32g'}","Egg, Milk, Soy, Wheat"
Breakfast,Hardee’s® Made from Scratch Biscuits™,Chorizo and Egg Biscuit,,"{'Serving Size': '184g', 'Calories': '550', 'Calories from Fat': '290', 'Fat': '33g', 'Saturated Fat': '15g', 'Trans Fat': '0g', 'Cholesterol': '260mg', 'Sodium': '1390mg', 'Carbohydrates': '45g', 'Dietary Fiber': '3g', 'Sugars': '4g', 'Protein': '21g'}","Egg, Milk, Soy, Wheat"
Breakfast,Burritos and more,Bacon Grilled Cheese Breakfast Sandwich ,"The Grilled Cheese Breakfast Sandwich loaded with American and Swiss Cheese, Folded Egg, and Bacon. ","{'Serving Size': '184g', 'Calories': '550', 'Calories from Fat': '280', 'Fat': '32g', 'Saturated Fat': '13g', 'Trans Fat': '0.5g', 'Cholesterol': '210mg', 'Sodium': '1410mg', 'Carbohydrates': '43g', 'Dietary Fiber': '2g', 'Sugars': '3g', 'Protein': '34g'}","Egg, Milk, Soy, Wheat"
Breakfast,Hardee’s® Made from Scratch Biscuits™,Biscuit ‘N’ Gravy™,Freshly-baked Made from Scratch Biscuit™ smothered in sausage gravy.,"{'Serving Size': '228g', 'Calories': '450', 'Calories from Fat': '220', 'Fat': '24g', 'Saturated Fat': '12g', 'Trans Fat': '0g', 'Cholesterol': '10mg', 'Sodium': '1320mg', 'Carbohydrates': '50g', 'Dietary Fiber': '3g', 'Sugars': '3g', 'Protein': '9g'}","Milk, Soy, Wheat"
Breakfast,Hardee’s® Made from Scratch Biscuits™,"Bacon, Egg & Cheese Biscuit ","Folded egg, slices of crispy bacon and American cheese all on a freshly-baked Made from Scratch Biscuit™.","{'Serving Size': '157g', 'Calories': '480', 'Calories from Fat': '260', 'Fat': '29g', 'Saturated Fat': '13g', 'Trans Fat': '0g', 'Cholesterol': '185mg', 'Sodium': '1250mg', 'Carbohydrates': '38g', 'Dietary Fiber': '2g', 'Sugars': '3g', 'Protein': '18g'}","Egg, Milk, Soy, Wheat"
Breakfast,Burritos and more,Sausage Grilled Cheese Breakfast Sandwich ,"The Grilled Cheese Breakfast Sandwich loaded with American and Swiss Cheese, Folded Egg, and a Sausage Patty.","{'Serving Size': '209g', 'Calories': '660', 'Calories from Fat': '390', 'Fat': '43g', 'Saturated Fat': '17g', 'Trans Fat': '0.5g', 'Cholesterol': '225mg', 'Sodium': '1460mg', 'Carbohydrates': '43g', 'Dietary Fiber': '2g', 'Sugars': '3g', 'Protein': '34g'}","Egg, Milk, Soy, Wheat"
Breakfast,Burritos and more,Steak & Egg Burrito,"Scrambled Eggs, Charbroiled Steak, Shredded Cheese, and Fresh Salsa Wrapped in a Warm Flour Tortilla.","{'Serving Size': '297g', 'Calories': '630', 'Calories from Fat': '330', 'Fat': '36g', 'Saturated Fat': '14g', 'Trans Fat': '0g', 'Cholesterol': '390mg', 'Sodium': '1570mg', 'Carbohydrates': '37g', 'Dietary Fiber': '2g', 'Sugars': '3g', 'Protein': '35g'}","Egg, Soy, Wheat"
Breakfast,Breakfast Sides,Hash Rounds® (large),"Crispy, Poppable Potato Rounds.","{'Serving Size': '173g', 'Calories': '560', 'Calories from Fat': '330', 'Fat': '37g', 'Saturated Fat': '7g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '710mg', 'Carbohydrates': '52g', 'Dietary Fiber': '5g', 'Sugars': '0g', 'Protein': '5g'}",Wheat
Breakfast,Breakfast Sides,Hash Rounds® (medium),"Crispy, Poppable Potato Rounds.","{'Serving Size': '119g', 'Calories': '390', 'Calories from Fat': '230', 'Fat': '26g', 'Saturated Fat': '4.5g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '490mg', 'Carbohydrates': '36g', 'Dietary Fiber': '4g', 'Sugars': '0g', 'Protein': '3g'}",Wheat
Breakfast,Breakfast Sides,Hash Rounds®  (small),"Crispy, Poppable Potato Rounds.","{'Serving Size': '108g', 'Calories': '350', 'Calories from Fat': '210', 'Fat': '23g', 'Saturated Fat': '4g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '440mg', 'Carbohydrates': '32g', 'Dietary Fiber': '3g', 'Sugars': '0g', 'Protein': '3g'}",Wheat
Breakfast,Burritos and more,Chorizo and Egg Burrito,,"{'Serving Size': '321g', 'Calories': '780', 'Calories from Fat': '410', 'Fat': '46g', 'Saturated Fat': '15g', 'Trans Fat': '0g', 'Cholesterol': '515mg', 'Sodium': '1540mg', 'Carbohydrates': '53g', 'Dietary Fiber': '5g', 'Sugars': '3g', 'Protein': '39g'}","Egg, Soy, Wheat"
Green Burrito,Side Items,Side of Shredded Cheese,,"{'Serving Size': '21g', 'Calories': '80', 'Calories from Fat': '60', 'Fat': '7g', 'Saturated Fat': '4g', 'Trans Fat': '0g', 'Cholesterol': '20mg', 'Sodium': '135mg', 'Carbohydrates': '0g', 'Dietary Fiber': '0g', 'Sugars': '0g', 'Protein': '5g'}",
Green Burrito,Side Items,Side of Guacamole,,"{'Serving Size': '77g', 'Calories': '100', 'Calories from Fat': '70', 'Fat': '8g', 'Saturated Fat': '1g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '270mg', 'Carbohydrates': '5g', 'Dietary Fiber': '2g', 'Sugars': '3g', 'Protein': '1g'}",
Green Burrito,Side Items,Side of Ground Beef,,"{'Serving Size': '99g', 'Calories': '160', 'Calories from Fat': '80', 'Fat': '9g', 'Saturated Fat': '3.5g', 'Trans Fat': '0.5g', 'Cholesterol': '45mg', 'Sodium': '660mg', 'Carbohydrates': '5g', 'Dietary Fiber': '3g', 'Sugars': '1g', 'Protein': '15g'}",
Green Burrito,Side Items,Side of Chips,,"{'Serving Size': '57g', 'Calories': '300', 'Calories from Fat': '150', 'Fat': '17g', 'Saturated Fat': '3g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '35mg', 'Carbohydrates': '35g', 'Dietary Fiber': '3g', 'Sugars': '0g', 'Protein': '4g'}",
